id_season,team_id,season_name,country,championship_name,team_code,team_logo,attacking_overall__played,attacking_overall__goals,attacking_overall__xg,attacking_overall__goals_vs_xg,attacking_overall__shots,attacking_overall__sot,attacking_overall__conv_pct,attacking_overall__xg_per_shot,attacking_set_pieces__goals,attacking_set_pieces__shots,attacking_set_pieces__xg,attacking_set_pieces__goal_pct,attacking_set_pieces__shot_pct,attacking_set_pieces__xg_pct,attacking_misc__touches_in_box,attacking_misc__hit_post,attacking_misc__offsides,attacking_misc__penalties__total,attacking_misc__penalties__goals,attacking_misc__free_kicks__total,attacking_misc__free_kicks__goals,attacking_misc__headers__total,attacking_misc__headers__goals,attacking_misc__fast_breaks__total,attacking_misc__fast_breaks__goals,passing__avg_poss,passing__all_passes__pct,passing__final_third_passes__successful,passing__final_third_passes__pct,passing__pass_direction__fwd,passing__pass_direction__bwd,passing__pass_direction__left,passing__pass_direction__right,passing__crosses__total,passing__crosses__successful,passing__crosses__pct,passing__through_balls,pressing__pressed_seqs,pressing__ppda,pressing__start_distance_m,pressing__total,pressing__high_turnovers__shot_ending,pressing__high_turnovers__goal_ending,pressing__high_turnovers__pct_end_in_shot,sequences__ten_plus_passes,sequences__direct_speed,sequences__passes_per_seq,sequences__sequence_time,sequences__build_ups__total,sequences__build_ups__goals,sequences__direct_attacks__total,sequences__direct_attacks__goals,misc.__subs_used,misc.__subs_goals,misc.__errors_lead_to_shot,misc.__errors_lead_to_goal,misc.__fouled,misc.__yellows,misc.__reds,misc.__pens_won,misc.__fouls,misc.__opp_yellows,misc.__opp_reds,misc.__pens_conceded,defending_overall__goals,defending_overall__xg,defending_overall__goals_vs_xg,defending_overall__shots,defending_overall__sot,defending_overall__conv_pct,defending_overall__xg_per_shot,defending_overall__shots_in_box_pct,defending_overall__goals_in_box_pct,defending_set_pieces__goals,defending_set_pieces__shots,defending_set_pieces__xg,defending_set_pieces__goal_pct,defending_set_pieces__shot_pct,defending_set_pieces__xg_pct,defending_defensive_actions__avg_poss,defending_defensive_actions__tackles,defending_defensive_actions__interceptions,defending_defensive_actions__recoveries,defending_defensive_actions__blocks,defending_defensive_actions__clearances,defending_defensive_actions__ground_duels_won,defending_defensive_actions__aerial_duels_won,defending_misc__touches_in_box,defending_misc__hit_post,defending_misc__offsides,defending_misc__penalties__total,defending_misc__penalties__goals,defending_misc__free_kicks__total,defending_misc__free_kicks__goals,defending_misc__headers__total,defending_misc__headers__goals,defending_misc__fast_breaks__total,defending_misc__fast_breaks__goals,% Estimated,Annual Wages,Weekly Wages
5,125,2025/26,Italie,Serie A,Fiorentina,https://omo.akamai.opta.net/image.php?secure=true&h=omo.akamai.opta.net&sport=football&entity=team&description=badges&dimensions=150&id=4raiad4l2j5lkfaz92pk4osb,5,0.6,1.15,-0.55,12.2,2.2,4.92,0.09,0.4,4.8,0.55,66.67,39.34,47.88,20.6,0.0,2.4,0.0,0.0,0.6,0.0,2.4,0.2,1.2,0.0,52.5,81.6,52.8,60.3,33.4,14.4,24.3,27.8,10.0,2.8,28.0,1.2,9.4,9.5,42.6,5.8,0.6,0.0,10.35,7.0,1.82,3.31,9.09,0.4,0.0,1.4,0.0,4.6,0.2,0.4,0.2,17.0,1.8,0.0,0.0,14.2,1.8,0.0,0.2,1.2,1.5,-0.3,13.0,5.4,9.23,0.12,70.77,100.0,0.6,5.0,0.62,50.0,38.46,41.56,52.5,18,8,41,3,18,52.6,49.0,23.4,0.6,1.2,0.2,0.2,0.4,0.0,2.2,0.4,0.8,0.2,19%,65470000.0,1259038.0
5,121,2025/26,Italie,Serie A,Roma,https://omo.akamai.opta.net/image.php?secure=true&h=omo.akamai.opta.net&sport=football&entity=team&description=badges&dimensions=150&id=2tk2l9sgktwc9jhzqdd4mpdtb,5,1.0,1.12,-0.12,13.8,5.0,7.25,0.08,0.2,5.0,0.29,20.0,36.23,26.01,25.6,0.2,1.4,0.0,0.0,0.8,0.0,3.6,0.2,1.6,0.2,60.2,82.6,110.6,75.0,32.2,14.4,25.8,27.6,13.6,2.6,19.1,0.6,14.4,8.4,44.9,8.4,0.8,0.2,9.52,8.6,1.73,3.55,9.1,1.0,0.0,1.6,0.0,4.8,0.0,0.6,0.0,15.0,1.0,0.0,0.0,13.2,2.2,0.4,0.0,0.2,0.84,-0.64,9.4,2.8,2.13,0.09,51.06,0.0,0.0,2.4,0.16,0.0,25.53,18.58,60.2,15,8,53,2,19,48.2,49.1,11.8,0.6,1.8,0.0,0.0,0.2,0.0,1.8,0.0,0.8,0.2,17%,109090000.0,2097885.0
5,990,2025/26,Italie,Serie A,Genoa,https://omo.akamai.opta.net/image.php?secure=true&h=omo.akamai.opta.net&sport=football&entity=team&description=badges&dimensions=150&id=4kumqzwifv478caxed8zywlh3,5,0.4,1.11,-0.71,10.2,3.6,3.92,0.11,0.0,3.4,0.32,0.0,33.33,29.07,15.6,0.4,0.4,0.0,0.0,0.4,0.0,1.4,0.0,0.4,0.0,51.3,78.1,54.2,60.5,36.5,13.5,24.8,25.2,11.2,1.6,14.3,1.2,11.2,9.1,44.1,6.2,0.8,0.0,12.9,7.4,1.72,2.98,7.66,0.6,0.0,0.6,0.0,4.6,0.2,0.4,0.2,13.0,3.0,0.0,0.0,15.2,1.8,0.2,0.2,1.4,1.18,0.22,11.2,3.8,12.5,0.1,71.43,85.71,0.4,2.4,0.1,28.57,21.43,8.9,51.3,21,7,41,4,19,54.1,46.2,18.6,0.2,2.0,0.2,0.2,0.0,0.0,1.8,0.2,0.8,0.2,86%,29610000.0,569423.0
5,131,2025/26,Italie,Serie A,Parma,https://omo.akamai.opta.net/image.php?secure=true&h=omo.akamai.opta.net&sport=football&entity=team&description=badges&dimensions=150&id=5aosfavi55p40c65lkriqnqnl,5,0.6,1.09,-0.49,12.0,3.0,5.0,0.09,0.4,5.0,0.33,66.67,41.67,30.08,16.2,0.4,0.4,0.2,0.2,0.6,0.0,2.8,0.2,0.8,0.0,43.2,78.0,56.2,58.4,36.3,13.6,24.5,25.6,11.8,2.4,20.3,0.0,13.0,10.8,42.9,8.6,1.8,0.0,20.93,5.4,1.88,2.75,7.77,0.4,0.0,0.4,0.0,4.2,0.2,0.2,0.0,12.6,1.6,0.0,0.2,10.6,2.0,0.2,0.0,1.2,1.03,0.17,13.2,4.2,9.09,0.08,60.61,66.67,0.6,3.0,0.31,50.0,22.73,29.92,43.2,15,6,44,4,20,48.4,43.3,25.4,0.2,2.8,0.0,0.0,0.2,0.0,2.8,0.2,0.6,0.2,95%,25760000.0,495385.0
5,124,2025/26,Italie,Serie A,Cagliari,https://omo.akamai.opta.net/image.php?secure=true&h=omo.akamai.opta.net&sport=football&entity=team&description=badges&dimensions=150&id=5rwlg5cfv1hu7yf0ek1zxpzy3,5,1.0,1.04,-0.04,11.4,3.6,8.77,0.09,0.4,4.2,0.39,40.0,36.84,37.32,17.8,0.8,1.6,0.2,0.2,0.4,0.0,2.4,0.4,0.8,0.0,43.8,81.1,49.6,66.8,37.7,15.4,21.4,25.5,10.0,1.4,14.0,0.2,7.8,14.4,38.1,3.6,0.4,0.0,11.11,5.4,1.88,3.22,8.48,0.8,0.2,1.6,0.0,5.0,0.2,1.2,0.0,14.2,2.2,0.0,0.2,15.4,1.8,0.0,0.0,1.0,1.67,-0.67,14.4,4.4,6.94,0.12,70.83,100.0,0.4,5.2,0.71,40.0,36.11,42.45,43.8,15,9,39,3,27,48.9,46.8,25.8,0.6,1.8,0.0,0.0,0.4,0.0,3.6,0.6,0.2,0.0,77%,28500000.0,548077.0
5,2170,2025/26,Italie,Serie A,Pisa,https://omo.akamai.opta.net/image.php?secure=true&h=omo.akamai.opta.net&sport=football&entity=team&description=badges&dimensions=150&id=bfztlrr6176xsdt2bmp0u1d2d,5,0.6,1.03,-0.43,11.2,2.8,5.36,0.09,0.0,3.6,0.24,0.0,32.14,23.05,15.8,0.4,1.2,0.2,0.2,0.0,0.0,2.0,0.0,0.4,0.0,38.4,76.2,53.8,66.3,41.3,14.4,22.8,21.6,12.6,2.4,19.1,1.0,7.8,13.2,39.4,5.4,1.6,0.2,29.63,4.0,2.0,2.57,6.96,1.0,0.0,1.2,0.0,5.0,0.2,1.2,0.0,10.8,1.0,0.0,0.2,13.2,1.4,0.0,0.0,1.2,1.14,0.06,15.2,4.4,7.89,0.07,61.84,83.33,0.0,5.2,0.32,0.0,34.21,27.77,38.4,20,8,48,5,28,48.2,55.8,31.6,0.2,1.6,0.0,0.0,0.4,0.0,2.0,0.0,0.8,0.0,88%,19840000.0,381538.0
5,2182,2025/26,Italie,Serie A,Sassuolo,https://omo.akamai.opta.net/image.php?secure=true&h=omo.akamai.opta.net&sport=football&entity=team&description=badges&dimensions=150&id=6tuibxq39fdryu8ou06wcm0q3,5,1.4,1.0,0.4,9.2,4.2,15.22,0.11,0.2,1.4,0.19,14.29,15.22,18.51,16.2,0.2,2.0,0.2,0.2,0.2,0.0,1.4,0.2,1.6,0.2,44.0,82.9,57.8,64.7,31.8,15.3,26.1,26.9,6.2,1.8,29.0,0.8,10.2,15.5,42.0,6.4,0.6,0.2,9.38,8.0,1.54,3.47,10.07,1.6,0.2,2.4,0.4,5.0,0.6,0.6,0.2,14.2,2.0,0.2,0.2,12.2,2.2,0.0,0.2,1.6,1.7,-0.1,13.8,4.8,11.59,0.12,69.57,87.5,0.4,3.6,0.23,25.0,26.09,13.41,44.0,16,8,44,4,26,51.5,46.1,22.8,0.2,0.8,0.2,0.2,0.6,0.2,2.4,0.4,1.0,0.0,80%,39040000.0,750769.0
5,123,2025/26,Italie,Serie A,Bologna,https://omo.akamai.opta.net/image.php?secure=true&h=omo.akamai.opta.net&sport=football&entity=team&description=badges&dimensions=150&id=ej5er0oyngdw138yuumwqbyqt,5,1.0,0.96,0.04,11.6,3.0,8.62,0.08,0.0,4.2,0.27,0.0,36.21,27.86,17.2,0.6,2.6,0.4,0.4,0.2,0.0,2.6,0.0,1.0,0.0,54.3,81.2,62.4,65.1,33.2,16.4,25.8,24.6,12.2,3.0,24.6,0.2,7.0,11.6,40.8,3.6,0.4,0.0,11.11,6.8,1.73,3.24,9.33,1.4,0.2,1.0,0.0,5.0,0.2,1.4,0.2,15.4,2.0,0.0,0.4,12.6,3.4,0.0,0.0,1.0,1.12,-0.12,12.0,3.4,8.33,0.09,68.33,100.0,0.2,3.4,0.22,20.0,28.33,20.11,54.3,14,7,45,3,21,51.0,49.7,22.2,1.4,1.0,0.0,0.0,0.2,0.0,2.4,0.2,1.0,0.0,48%,44750000.0,860577.0
5,136,2025/26,Italie,Serie A,Udinese,https://omo.akamai.opta.net/image.php?secure=true&h=omo.akamai.opta.net&sport=football&entity=team&description=badges&dimensions=150&id=dxq76zcvnokq07cszdx0i6kve,5,1.0,0.92,0.08,11.8,4.2,8.47,0.08,0.2,2.8,0.17,20.0,23.73,18.72,18.6,0.4,1.4,0.2,0.2,0.2,0.0,1.4,0.2,0.6,0.2,47.9,83.8,74.4,71.8,31.6,12.6,28.6,27.3,13.4,2.0,14.9,0.2,9.6,12.6,41.9,6.8,1.4,0.0,20.59,8.2,1.75,3.39,10.29,1.0,0.0,1.0,0.0,4.8,0.0,0.6,0.2,10.0,2.6,0.0,0.2,11.6,0.8,0.0,0.0,1.6,1.15,0.45,12.2,4.0,13.11,0.09,70.49,100.0,0.2,3.6,0.23,12.5,29.51,20.49,47.9,12,6,35,3,31,43.5,54.0,23.0,0.2,2.4,0.0,0.0,0.2,0.0,2.6,0.2,0.2,0.2,89%,25290000.0,486346.0
5,135,2025/26,Italie,Serie A,Torino,https://omo.akamai.opta.net/image.php?secure=true&h=omo.akamai.opta.net&sport=football&entity=team&description=badges&dimensions=150&id=7gnly6999wao1xarwct4p8fe9,5,0.4,0.91,-0.51,10.6,4.2,3.77,0.09,0.0,2.0,0.18,0.0,18.87,19.88,21.0,0.0,1.8,0.2,0.0,0.2,0.0,2.4,0.0,0.4,0.2,42.8,81.0,60.4,66.1,35.3,14.9,24.5,25.3,12.4,3.0,24.2,0.8,10.4,18.1,41.2,5.6,1.6,0.2,28.57,4.8,1.81,3.22,8.77,0.8,0.0,0.8,0.0,5.0,0.0,1.2,0.6,11.2,1.6,0.0,0.2,12.6,1.4,0.0,0.2,2.0,1.49,0.51,16.0,5.0,12.5,0.09,60.0,100.0,0.4,6.4,0.49,20.0,40.0,32.7,42.8,14,6,40,4,24,51.3,46.1,23.8,0.2,1.4,0.2,0.2,0.8,0.0,4.4,0.6,1.2,0.0,62%,50790000.0,976731.0
5,2174,2025/26,Italie,Serie A,Cremonese,https://omo.akamai.opta.net/image.php?secure=true&h=omo.akamai.opta.net&sport=football&entity=team&description=badges&dimensions=150&id=af91jdcs6x0bqkmdb78rokod2,5,1.2,0.87,0.33,6.6,2.8,18.18,0.13,0.6,2.0,0.14,50.0,30.3,16.18,10.4,0.0,2.4,0.2,0.2,0.2,0.0,2.0,0.6,0.2,0.0,45.2,79.8,43.8,58.4,36.9,14.3,23.9,25.0,10.2,2.2,21.6,0.4,7.6,17.5,33.9,2.4,0.4,0.2,16.67,7.2,1.83,3.41,9.03,0.8,0.0,1.2,0.0,5.0,0.2,0.8,0.0,12.4,2.4,0.0,0.2,11.8,1.6,0.2,0.2,0.8,1.37,-0.57,16.4,6.0,4.88,0.08,62.2,100.0,0.0,4.0,0.21,0.0,24.39,15.48,45.2,14,5,40,5,28,51.0,51.0,25.2,0.0,1.4,0.2,0.2,0.4,0.0,2.2,0.2,1.6,0.0,78%,33340000.0,641154.0
5,130,2025/26,Italie,Serie A,Lecce,https://omo.akamai.opta.net/image.php?secure=true&h=omo.akamai.opta.net&sport=football&entity=team&description=badges&dimensions=150&id=bi1fxjrncd0ram0oi7ja1jyuo,5,0.8,0.79,0.01,9.8,2.8,8.16,0.08,0.4,4.2,0.33,50.0,42.86,41.34,18.8,0.8,1.0,0.0,0.0,0.2,0.0,2.8,0.4,0.0,0.0,42.9,78.3,68.2,64.7,37.9,14.7,23.5,23.9,12.6,3.2,25.4,0.4,11.0,14.1,43.8,5.4,0.0,0.0,0.0,4.6,2.02,2.76,7.22,0.6,0.0,0.6,0.0,5.0,0.4,1.0,0.4,12.6,2.0,0.0,0.0,10.4,1.4,0.0,0.4,2.0,1.62,0.38,13.4,5.4,14.93,0.12,71.64,90.0,0.4,4.4,0.35,20.0,32.84,21.76,42.9,16,6,37,3,21,48.0,55.3,25.8,0.6,2.6,0.4,0.4,0.6,0.0,2.6,0.4,0.8,0.0,84%,19550000.0,375962.0
