id_season,team_id,season_name,country,championship_name,team_code,team_logo,attacking_overall__played,attacking_overall__goals,attacking_overall__xg,attacking_overall__goals_vs_xg,attacking_overall__shots,attacking_overall__sot,attacking_overall__conv_pct,attacking_overall__xg_per_shot,attacking_set_pieces__goals,attacking_set_pieces__shots,attacking_set_pieces__xg,attacking_set_pieces__goal_pct,attacking_set_pieces__shot_pct,attacking_set_pieces__xg_pct,attacking_misc__touches_in_box,attacking_misc__hit_post,attacking_misc__offsides,attacking_misc__penalties__total,attacking_misc__penalties__goals,attacking_misc__free_kicks__total,attacking_misc__free_kicks__goals,attacking_misc__headers__total,attacking_misc__headers__goals,attacking_misc__fast_breaks__total,attacking_misc__fast_breaks__goals,passing__avg_poss,passing__all_passes__pct,passing__final_third_passes__successful,passing__final_third_passes__pct,passing__pass_direction__fwd,passing__pass_direction__bwd,passing__pass_direction__left,passing__pass_direction__right,passing__crosses__total,passing__crosses__successful,passing__crosses__pct,passing__through_balls,pressing__pressed_seqs,pressing__ppda,pressing__start_distance_m,pressing__total,pressing__high_turnovers__shot_ending,pressing__high_turnovers__goal_ending,pressing__high_turnovers__pct_end_in_shot,sequences__ten_plus_passes,sequences__direct_speed,sequences__passes_per_seq,sequences__sequence_time,sequences__build_ups__total,sequences__build_ups__goals,sequences__direct_attacks__total,sequences__direct_attacks__goals,misc.__subs_used,misc.__subs_goals,misc.__errors_lead_to_shot,misc.__errors_lead_to_goal,misc.__fouled,misc.__yellows,misc.__reds,misc.__pens_won,misc.__fouls,misc.__opp_yellows,misc.__opp_reds,misc.__pens_conceded,defending_overall__goals,defending_overall__xg,defending_overall__goals_vs_xg,defending_overall__shots,defending_overall__sot,defending_overall__conv_pct,defending_overall__xg_per_shot,defending_overall__shots_in_box_pct,defending_overall__goals_in_box_pct,defending_set_pieces__goals,defending_set_pieces__shots,defending_set_pieces__xg,defending_set_pieces__goal_pct,defending_set_pieces__shot_pct,defending_set_pieces__xg_pct,defending_defensive_actions__avg_poss,defending_defensive_actions__tackles,defending_defensive_actions__interceptions,defending_defensive_actions__recoveries,defending_defensive_actions__blocks,defending_defensive_actions__clearances,defending_defensive_actions__ground_duels_won,defending_defensive_actions__aerial_duels_won,defending_misc__touches_in_box,defending_misc__hit_post,defending_misc__offsides,defending_misc__penalties__total,defending_misc__penalties__goals,defending_misc__free_kicks__total,defending_misc__free_kicks__goals,defending_misc__headers__total,defending_misc__headers__goals,defending_misc__fast_breaks__total,defending_misc__fast_breaks__goals
3,1450,2024/25,Espagne,LaLiga,Getafe,https://omo.akamai.opta.net/image.php?secure=true&h=omo.akamai.opta.net&sport=football&entity=team&description=badges&dimensions=150&id=1n1j0wsl763lq7ee1k0c11c02,4,1.5,0.91,0.59,10.0,3.25,15.0,0.09,0.75,3.5,0.22,50.0,35.0,24.01,17.75,0.25,1.75,0.0,0.0,0.5,0.0,1.5,0.5,0.25,0.25,37.6,74.0,57.0,61.6,38.9,16.1,22.3,22.7,10.25,2.5,24.4,0.25,13.0,12.2,44.2,7.75,1.0,0.0,12.9,3.0,1.49,2.33,6.61,0.25,0.0,0.5,0.25,2.5,0.0,0.25,0.0,14.75,1.5,0.0,0.0,14.5,3.0,0.25,0.0,1.0,0.69,0.3,8.75,2.75,11.43,0.08,57.14,100.0,0.25,3.5,0.17,25.0,40.0,25.11,37.6,17,6,41,3,27,48.7,37.4,18.0,0.5,1.75,0.0,0.0,0.25,0.0,2.5,0.25,1.25,0.5
3,2893,2024/25,Espagne,LaLiga,Girona,https://omo.akamai.opta.net/image.php?secure=true&h=omo.akamai.opta.net&sport=football&entity=team&description=badges&dimensions=150&id=7h7eg7q7dbwvzww78h9d5eh0h,4,0.5,0.87,-0.37,11.25,4.25,4.44,0.08,0.0,3.25,0.33,0.0,28.89,37.33,24.25,0.0,1.5,0.0,0.0,0.0,0.0,2.0,0.0,0.5,0.25,47.7,83.9,72.5,68.9,32.7,16.7,24.4,26.1,9.5,1.25,13.2,0.5,7.25,18.3,39.7,4.75,0.5,0.0,10.53,10.5,1.5,3.53,10.78,2.5,0.0,0.75,0.25,5.0,0.0,1.75,0.75,11.0,1.25,0.25,0.0,7.75,1.0,0.0,0.5,2.75,2.39,0.36,17.25,5.75,15.94,0.14,71.01,100.0,0.25,3.5,0.27,9.09,20.29,11.07,47.7,16,7,43,5,21,50.7,46.6,32.25,0.25,1.0,0.5,0.5,0.0,0.0,3.0,0.25,2.25,0.5
3,173,2024/25,Espagne,LaLiga,Alavés,https://omo.akamai.opta.net/image.php?secure=true&h=omo.akamai.opta.net&sport=football&entity=team&description=badges&dimensions=150&id=4dtdjgnpdq9uw4sdutti0vaar,4,1.0,0.85,0.15,8.75,3.25,11.43,0.1,0.5,2.75,0.23,50.0,31.43,26.53,13.25,0.0,1.25,0.25,0.25,0.25,0.0,2.0,0.25,0.75,0.0,48.6,79.2,75.75,64.3,35.3,14.3,24.4,26.0,13.0,3.0,23.1,0.25,9.75,11.1,42.3,7.75,0.5,0.0,6.45,8.25,1.66,3.25,7.91,1.0,0.0,0.75,0.0,5.0,0.0,0.75,0.0,13.75,2.0,0.0,0.25,14.25,2.5,0.0,0.0,0.75,1.24,-0.49,12.5,4.25,6.0,0.1,64.0,100.0,0.0,4.0,0.23,0.0,32.0,18.1,48.6,18,9,48,4,31,50.0,54.4,25.25,0.5,2.0,0.0,0.0,0.25,0.0,2.75,0.0,0.75,0.25
3,954,2024/25,Espagne,LaLiga,Elche,https://omo.akamai.opta.net/image.php?secure=true&h=omo.akamai.opta.net&sport=football&entity=team&description=badges&dimensions=150&id=4yg9ttzw0m51048doksv8uq5r,4,1.5,0.82,0.68,8.25,2.75,18.18,0.1,0.25,2.5,0.13,16.67,30.3,15.75,15.5,0.0,1.25,0.0,0.0,0.25,0.25,2.0,0.0,1.0,0.5,56.1,86.4,85.75,73.5,31.5,18.9,24.7,25.0,12.5,3.0,24.0,0.25,8.75,11.0,37.3,3.75,0.25,0.0,6.67,14.0,1.77,3.98,11.12,1.75,0.0,1.5,0.25,5.0,0.0,0.75,0.0,15.25,1.75,0.0,0.0,13.5,1.75,0.0,0.0,1.0,1.18,-0.18,10.75,3.5,9.3,0.11,51.16,75.0,0.0,2.0,0.07,0.0,18.6,6.24,56.1,18,9,51,3,22,51.8,45.5,20.75,0.25,1.25,0.0,0.0,0.75,0.0,1.25,0.0,1.25,0.0
3,179,2024/25,Espagne,LaLiga,Sevilla,https://omo.akamai.opta.net/image.php?secure=true&h=omo.akamai.opta.net&sport=football&entity=team&description=badges&dimensions=150&id=10eyb18v5puw4ez03ocaug09m,4,1.75,0.81,0.94,11.0,4.0,15.91,0.07,0.0,2.5,0.09,0.0,22.73,11.41,22.0,0.75,3.25,0.0,0.0,0.0,0.0,1.5,0.0,1.5,0.25,55.0,83.6,87.75,73.7,32.0,15.1,26.6,26.4,11.25,3.25,28.9,1.75,12.5,9.2,42.5,9.25,1.0,0.0,10.81,9.5,1.95,3.46,9.52,1.5,0.0,2.0,0.0,4.0,0.25,0.5,0.0,14.0,2.5,0.0,0.0,14.25,1.25,0.0,0.25,1.75,1.67,0.08,12.0,4.0,14.58,0.14,58.33,57.14,0.5,5.25,0.54,28.57,43.75,32.41,55.0,20,7,52,5,31,49.4,58.6,26.0,0.25,0.75,0.25,0.25,0.25,0.25,2.0,0.0,0.25,0.25
3,187,2024/25,Espagne,LaLiga,Oviedo,https://omo.akamai.opta.net/image.php?secure=true&h=omo.akamai.opta.net&sport=football&entity=team&description=badges&dimensions=150&id=clo928vcczjp0mczavs5o7p5k,4,0.25,0.6,-0.35,6.0,2.25,4.17,0.1,0.0,0.75,0.03,0.0,12.5,4.87,10.5,0.75,1.5,0.25,0.0,0.0,0.0,0.75,0.0,0.75,0.25,40.6,82.3,47.75,70.2,31.5,15.8,25.7,27.0,7.75,1.0,12.9,0.5,5.0,19.0,35.2,3.25,1.0,0.0,30.77,8.25,1.38,3.39,9.65,1.25,0.0,0.75,0.25,5.25,0.0,2.25,0.75,10.75,2.25,0.5,0.25,9.75,1.25,0.0,0.0,1.75,1.74,0.01,19.75,7.25,8.86,0.09,58.23,85.71,0.75,5.25,0.53,42.86,26.58,30.2,40.6,16,7,41,5,35,51.8,52.5,31.75,0.0,1.0,0.0,0.0,0.25,0.0,2.75,0.75,0.75,0.25
3,181,2024/25,Espagne,LaLiga,Mallorca,https://omo.akamai.opta.net/image.php?secure=true&h=omo.akamai.opta.net&sport=football&entity=team&description=badges&dimensions=150&id=50x1m4u58lffhq6v6ga1hbxmy,3,0.67,0.53,0.13,8.33,3.33,8.0,0.06,0.33,3.0,0.13,50.0,36.0,23.95,14.67,0.0,1.33,0.0,0.0,0.0,0.0,2.67,0.33,0.0,0.0,40.1,79.6,51.0,62.7,38.5,18.3,21.4,21.8,10.0,1.33,13.3,0.0,7.0,18.1,35.9,4.67,0.33,0.0,7.14,7.0,1.46,3.26,9.76,1.33,0.0,0.33,0.0,5.0,0.0,0.33,0.33,13.0,1.67,0.67,0.0,8.33,2.0,0.0,0.0,2.0,1.57,0.43,16.33,5.67,12.24,0.1,42.86,66.67,0.33,2.33,0.32,16.67,14.29,20.71,40.1,12,5,42,4,17,49.4,42.1,32.67,0.67,2.33,0.0,0.0,0.67,0.0,1.33,0.67,0.67,0.33
4,43,2024/25,Angleterre,Premier League,Man City,https://omo.akamai.opta.net/image.php?secure=true&h=omo.akamai.opta.net&sport=football&entity=team&description=badges&dimensions=150&id=a3nyxabgsqlnqfkeg41m6tnpp,4,2.0,2.12,-0.12,12.5,4.25,16.0,0.17,0.0,2.5,0.3,0.0,20.0,14.12,28.0,0.25,0.5,0.0,0.0,0.25,0.0,2.5,0.25,1.25,0.5,57.2,86.9,99.0,78.3,29.4,16.6,27.3,26.7,7.25,2.0,27.6,3.5,9.0,13.8,42.0,6.25,1.75,0.0,28.0,15.5,1.6,4.3,11.72,4.0,0.25,0.5,0.0,4.5,0.25,1.0,0.25,11.75,1.25,0.0,0.0,8.75,1.75,0.0,0.25,1.0,1.37,-0.37,11.25,4.25,8.89,0.12,73.33,100.0,0.0,2.5,0.28,0.0,22.22,20.48,57.2,17,8,47,2,23,50.6,62.1,24.0,0.0,2.25,0.25,0.25,0.25,0.0,1.5,0.0,1.25,0.0
4,1,2024/25,Angleterre,Premier League,Man Utd,https://omo.akamai.opta.net/image.php?secure=true&h=omo.akamai.opta.net&sport=football&entity=team&description=badges&dimensions=150&id=6eqit8ye8aomdsrrq0hk3v7gh,4,1.0,2.07,-1.07,17.5,4.5,5.71,0.12,0.0,4.0,0.41,0.0,22.86,19.99,32.0,1.0,1.5,0.5,0.25,0.25,0.0,3.5,0.0,2.0,0.0,56.3,82.9,110.0,75.6,33.4,16.3,25.5,24.8,13.0,4.5,34.6,3.75,11.5,11.0,43.0,6.5,0.0,0.0,0.0,11.0,1.86,3.64,9.93,2.75,0.0,2.0,0.0,4.25,0.0,1.25,0.75,11.5,0.75,0.0,0.5,8.75,2.5,0.0,0.0,1.75,1.73,0.03,10.25,4.0,17.07,0.17,78.05,100.0,0.5,3.75,0.59,28.57,36.59,34.15,56.3,20,6,45,3,19,55.2,50.6,25.5,0.25,1.75,0.0,0.0,0.5,0.0,1.5,0.5,0.5,0.25
4,8,2024/25,Angleterre,Premier League,Chelsea,https://omo.akamai.opta.net/image.php?secure=true&h=omo.akamai.opta.net&sport=football&entity=team&description=badges&dimensions=150&id=9q0arba2kbnywth8bkxlhgmdr,4,2.25,1.99,0.26,15.0,5.5,15.0,0.13,1.0,5.25,0.68,44.44,35.0,34.12,30.5,0.25,2.25,0.25,0.25,0.5,0.0,2.5,0.5,0.75,0.0,62.5,88.7,110.0,76.7,25.1,13.8,31.4,29.6,12.5,2.0,16.0,2.25,9.0,9.9,44.0,5.5,1.5,0.25,27.27,16.25,1.68,4.57,12.17,3.5,0.0,2.0,0.0,4.5,0.25,0.5,0.0,11.5,1.75,0.0,0.25,9.75,2.0,0.0,0.0,0.75,0.96,-0.21,10.25,3.75,7.32,0.09,68.29,66.67,0.25,4.75,0.56,33.33,46.34,58.26,62.5,17,12,41,3,22,50.7,55.8,16.75,0.0,1.25,0.0,0.0,0.5,0.0,2.75,0.0,0.5,0.25
