Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,G+A-PK,xG+xAG,Rk_stats_shooting,Nation_stats_shooting,Pos_stats_shooting,Comp_stats_shooting,Age_stats_shooting,Born_stats_shooting,90s_stats_shooting,Gls_stats_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK_stats_shooting,PKatt_stats_shooting,xG_stats_shooting,npxG_stats_shooting,npxG/Sh,G-xG,np:G-xG,Rk_stats_passing,Nation_stats_passing,Pos_stats_passing,Comp_stats_passing,Age_stats_passing,Born_stats_passing,90s_stats_passing,Cmp,Att,Cmp%,TotDist,PrgDist,Ast_stats_passing,xAG_stats_passing,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP_stats_passing,Rk_stats_passing_types,Nation_stats_passing_types,Pos_stats_passing_types,Comp_stats_passing_types,Age_stats_passing_types,Born_stats_passing_types,90s_stats_passing_types,Att_stats_passing_types,Live,Dead,FK_stats_passing_types,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_stats_passing_types,Off,Blocks,Rk_stats_gca,Nation_stats_gca,Pos_stats_gca,Comp_stats_gca,Age_stats_gca,Born_stats_gca,90s_stats_gca,SCA,SCA90,PassLive,PassDead,TO,Sh_stats_gca,Fld,Def,GCA,GCA90,Rk_stats_defense,Nation_stats_defense,Pos_stats_defense,Comp_stats_defense,Age_stats_defense,Born_stats_defense,90s_stats_defense,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att_stats_defense,Tkl%,Lost,Blocks_stats_defense,Sh_stats_defense,Pass,Int,Tkl+Int,Clr,Err,Rk_stats_possession,Nation_stats_possession,Pos_stats_possession,Comp_stats_possession,Age_stats_possession,Born_stats_possession,90s_stats_possession,Touches,Def Pen,Def 3rd_stats_possession,Mid 3rd_stats_possession,Att 3rd_stats_possession,Att Pen,Live_stats_possession,Att_stats_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_stats_possession,PrgDist_stats_possession,PrgC_stats_possession,1/3_stats_possession,CPA,Mis,Dis,Rec,PrgR_stats_possession,Rk_stats_playing_time,Nation_stats_playing_time,Pos_stats_playing_time,Comp_stats_playing_time,Age_stats_playing_time,Born_stats_playing_time,MP_stats_playing_time,Min_stats_playing_time,Mn/MP,Min%,90s_stats_playing_time,Starts_stats_playing_time,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,Rk_stats_misc,Nation_stats_misc,Pos_stats_misc,Comp_stats_misc,Age_stats_misc,Born_stats_misc,90s_stats_misc,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld_stats_misc,Off_stats_misc,Crs_stats_misc,Int_stats_misc,TklW_stats_misc,PKwon,PKcon,OG,Recov,Won,Lost_stats_misc,Won%,Rk_stats_keeper,Nation_stats_keeper,Pos_stats_keeper,Comp_stats_keeper,Age_stats_keeper,Born_stats_keeper,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Rk_stats_keeper_adv,Nation_stats_keeper_adv,Pos_stats_keeper_adv,Comp_stats_keeper_adv,Age_stats_keeper_adv,Born_stats_keeper_adv,90s_stats_keeper_adv,GA_stats_keeper_adv,PKA_stats_keeper_adv,FK_stats_keeper_adv,CK_stats_keeper_adv,OG_stats_keeper_adv,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_stats_keeper_adv,Att_stats_keeper_adv,Cmp%_stats_keeper_adv,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Gls_per90,Ast_per90,G+A_per90,G-PK_per90,PK_per90,CrdY_per90,CrdR_per90,npxG_per90,xAG_per90,PrgC_per90,PrgP_per90,PrgR_per90,Sh_per90,SoT_per90,Cmp_per90,1/3_per90,PPA_per90,CrsPA_per90,Sw_per90,Crs_per90,Tkl_per90,Int_per90,Clr_per90,Blocks_stats_defense_per90,Err_per90,Fld_per90,Touches_per90,Succ_per90,Carries_per90,Mis_per90,Dis_per90,Fls_per90,PKwon_per90,PKcon_per90,Recov_per90,GA_per90,SoTA_per90,Saves_per90,PKm_per90,PKsv_per90,Thr_per90,Stp_per90,Won_per90,#OPA_per90,PSxG_per90,G-xG_per90,team_code,passing__avg_poss,Tkl_per90_Padj,Int_per90_Padj,Clr_per90_Padj,Blocks_stats_defense_per90_Padj,Born_year,Player_clean
133,Yaser Asprilla,co COL,"FW,MF",Girona,es La Liga,22.0,2003.0,14,6,593,6.6,0,0,0,0,0,0,0,0,0.6,0.6,1.7,2.2,20,22,51,0.0,0.34,133,co COL,"FW,MF",es La Liga,22-054,2003.0,6.6,0,15,5,33.3,2.28,0.76,0.0,0.0,23.1,1,0,0,0.6,0.6,0.04,-0.6,-0.6,133,co COL,"FW,MF",es La Liga,22-054,2003.0,6.6,138,186,74.2,2691,776,0,1.7,1.4,-1.7,12,10,9,1,22,133,co COL,"FW,MF",es La Liga,22-054,2003.0,6.6,186,165,20,5,0,2,35,2,12,3,7,0,138,1,5,133,co COL,"FW,MF",es La Liga,22-054,2003.0,6.6,21,3.19,14,4,2,1,0,0,0,0.0,133,co COL,"FW,MF",es La Liga,22-054,2003.0,6.6,8,3,2,5,1,4,75.0,1,8,1,7,5,13,4,0,133,co COL,"FW,MF",es La Liga,22-054,2003.0,6.6,267,5,39,92,142,20,267,25,12,48.0,9,36.0,179,1209,513,20,9,9,20,10,176,51,171,co COL,"FW,MF",es La Liga,22-054,2003.0,14,593,42,34.7,6.6,6,70.0,2,8,22.0,5,0.79,4,14,-10,-1.52,-1.03,6.5,11.9,-5.3,-0.81,133,co COL,"FW,MF",es La Liga,22-054,2003.0,6.6,0,0,0,8,6,5,35,5,3,0,0,0,24,2,5,28.6,,,,,,,,,,,,,,,69.16,,,,,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,36.25,,,,5.5,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.26,3.04,3.34,7.74,2.28,0.76,20.94,1.52,1.37,0.15,0.3,5.31,1.21,0.76,0.61,1.21,0.0,0.0,40.52,1.82,27.17,3.04,1.52,1.21,0.0,0.0,3.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,-0.09,Girona,49.8,1.21,0.76,0.61,1.21,2003,yaser asprilla
159,Leon Bailey,jm JAM,"MF,FW",Roma,it Serie A,28.0,1997.0,7,1,186,2.1,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,4,3,21,0.0,0.1,159,jm JAM,"MF,FW",it Serie A,28-156,1997.0,2.1,0,3,1,33.3,1.45,0.48,0.0,0.0,17.1,0,0,0,0.2,0.2,0.06,-0.2,-0.2,159,jm JAM,"MF,FW",it Serie A,28-156,1997.0,2.1,51,73,69.9,743,82,0,0.0,0.1,0.0,2,0,0,0,3,159,jm JAM,"MF,FW",it Serie A,28-156,1997.0,2.1,73,67,6,3,0,0,14,0,3,2,0,0,51,0,4,159,jm JAM,"MF,FW",it Serie A,28-156,1997.0,2.1,3,1.45,1,1,0,0,1,0,0,0.0,159,jm JAM,"MF,FW",it Serie A,28-156,1997.0,2.1,2,0,1,0,1,2,50.0,1,1,0,1,0,2,0,0,159,jm JAM,"MF,FW",it Serie A,28-156,1997.0,2.1,97,0,6,28,66,7,97,8,2,25.0,4,50.0,55,337,178,4,6,1,11,2,71,21,204,jm JAM,"MF,FW",it Serie A,28-156,1997.0,7,186,27,10.3,2.1,1,49.0,0,6,23.0,1,1.29,1,1,0,0.0,-0.67,2.5,3.6,-1.1,-0.54,159,jm JAM,"MF,FW",it Serie A,28-156,1997.0,2.1,0,0,0,2,1,1,14,0,0,0,0,0,6,3,4,42.9,,,,,,,,,,,,,,,73.11,,,,,31.22,,,,,,,,,,,,,,,,,,,,,,,,,,36.42,,,,6.16,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.94,1.45,10.16,1.45,0.48,24.68,0.0,0.0,0.0,0.0,6.77,0.97,0.0,0.0,0.48,0.0,0.48,46.94,0.97,26.61,5.32,0.97,0.97,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.45,0.0,0.0,-0.1,Roma,56.2,1.11,0.0,0.0,0.55,1997,leon bailey
164,Darryl Bakola,fr FRA,MF,Marseille,fr Ligue 1,18.0,2007.0,7,0,58,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,7,5,0.0,0.12,164,fr FRA,MF,fr Ligue 1,18-043,2007.0,0.6,0,3,1,33.3,4.66,1.55,0.0,0.0,25.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,164,fr FRA,MF,fr Ligue 1,18-043,2007.0,0.6,34,40,85.0,685,198,0,0.0,0.0,0.0,0,6,0,0,7,164,fr FRA,MF,fr Ligue 1,18-043,2007.0,0.6,40,40,0,0,0,0,1,0,0,0,0,0,34,0,2,164,fr FRA,MF,fr Ligue 1,18-043,2007.0,0.6,2,3.1,1,0,1,0,0,0,1,1.55,164,fr FRA,MF,fr Ligue 1,18-043,2007.0,0.6,2,0,1,1,0,1,0.0,1,1,0,1,0,2,0,0,164,fr FRA,MF,fr Ligue 1,18-043,2007.0,0.6,55,2,13,28,16,1,55,1,1,100.0,0,0.0,42,270,125,2,2,0,4,2,45,5,211,fr FRA,MF,fr Ligue 1,18-043,2007.0,7,58,8,3.8,0.6,0,,0,7,8.0,5,1.71,3,3,0,0.0,-1.16,1.8,2.6,-0.8,-1.17,164,fr FRA,MF,fr Ligue 1,18-043,2007.0,0.6,0,0,0,2,3,0,1,0,0,0,0,0,5,0,3,0.0,,,,,,,,,,,,,,,69.57,,,,,27.02,,,,,,,,,,,,,,,,,,,,,,,,,,29.09,,,,6.37,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,3.1,10.86,7.76,4.66,1.55,52.76,9.31,0.0,0.0,0.0,1.55,3.1,0.0,0.0,1.55,0.0,0.0,85.34,1.55,65.17,6.21,3.1,3.1,0.0,0.0,7.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16,Marseille,57.1,3.61,0.0,0.0,1.81,2007,darryl bakola
168,Tommaso Baldanzi,it ITA,"FW,MF",Roma,it Serie A,22.0,2003.0,10,3,386,4.3,1,0,1,1,0,0,2,0,1.5,1.5,0.6,2.1,9,12,30,0.23,0.48,168,it ITA,"FW,MF",it Serie A,22-295,2003.0,4.3,1,11,4,36.4,2.56,0.93,0.09,0.25,17.0,0,0,0,1.5,1.5,0.13,-0.5,-0.5,168,it ITA,"FW,MF",it Serie A,22-295,2003.0,4.3,121,146,82.9,1750,312,0,0.6,0.9,-0.6,6,6,9,2,12,168,it ITA,"FW,MF",it Serie A,22-295,2003.0,4.3,146,134,11,2,2,0,9,1,4,3,1,0,121,1,3,168,it ITA,"FW,MF",it Serie A,22-295,2003.0,4.3,14,3.27,11,2,0,1,0,0,0,0.0,168,it ITA,"FW,MF",it Serie A,22-295,2003.0,4.3,5,1,1,2,2,1,0.0,1,1,0,1,3,8,1,0,168,it ITA,"FW,MF",it Serie A,22-295,2003.0,4.3,193,0,11,78,105,17,193,7,0,0.0,5,71.4,129,663,265,9,6,4,8,7,146,30,215,it ITA,"FW,MF",it Serie A,22-295,2003.0,10,386,39,21.4,4.3,3,56.0,0,7,31.0,6,1.2,5,3,2,0.47,-0.17,5.4,4.6,0.9,0.2,168,it ITA,"FW,MF",it Serie A,22-295,2003.0,4.3,2,0,0,8,18,2,9,3,1,0,0,0,13,1,7,12.5,,,,,,,,,,,,,,,73.11,,,,,31.22,,,,,,,,,,,,,,,,,,,,,,,,,,36.42,,,,6.16,,,,0.23,0.0,0.23,0.23,0.0,0.47,0.0,0.35,0.14,2.1,2.8,6.99,2.56,0.93,28.21,1.4,2.1,0.47,0.0,2.1,1.17,0.7,0.23,0.23,0.0,0.0,45.0,0.0,30.08,1.87,1.63,1.87,0.0,0.0,3.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,-0.12,Roma,56.2,1.34,0.8,0.26,0.26,2003,tommaso baldanzi
214,Sheraldo Becker,sr SUR,"MF,FW",Osasuna,es La Liga,30.0,1995.0,9,0,158,1.8,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,4,4,22,0.0,0.24,214,sr SUR,"MF,FW",es La Liga,30-337,1995.0,1.8,0,3,0,0.0,1.71,0.0,0.0,,16.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1,214,sr SUR,"MF,FW",es La Liga,30-337,1995.0,1.8,34,58,58.6,607,207,0,0.3,0.1,-0.3,2,2,3,1,4,214,sr SUR,"MF,FW",es La Liga,30-337,1995.0,1.8,58,55,1,0,0,0,11,1,0,0,0,0,34,2,3,214,sr SUR,"MF,FW",es La Liga,30-337,1995.0,1.8,3,1.71,3,0,0,0,0,0,0,0.0,214,sr SUR,"MF,FW",es La Liga,30-337,1995.0,1.8,2,1,0,2,0,0,50.85,0,0,0,0,3,5,4,0,214,sr SUR,"MF,FW",es La Liga,30-337,1995.0,1.8,81,3,17,30,34,9,81,4,0,0.0,2,50.0,51,273,96,4,2,2,4,3,47,22,272,sr SUR,"MF,FW",es La Liga,30-337,1995.0,9,158,18,9.2,1.8,0,,0,9,18.0,7,0.56,1,4,-3,-1.71,-1.65,2.2,3.1,-0.9,-0.49,214,sr SUR,"MF,FW",es La Liga,30-337,1995.0,1.8,0,0,0,4,1,1,11,3,1,0,0,0,15,0,4,0.0,,,,,,,,,,,,,,,69.16,,,,,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,36.25,,,,5.5,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.17,2.28,2.28,12.53,1.71,0.0,19.37,1.14,1.71,0.57,0.0,6.27,1.14,1.71,2.28,0.0,0.0,0.0,46.14,0.0,29.05,2.28,1.71,2.28,0.0,0.0,8.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06,CA Osasuna,,0.0,0.0,0.0,0.0,1995,sheraldo becker
230,Jeanuël Belocian,fr FRA,DF,Leverkusen,de Bundesliga,20.0,2005.0,8,3,292,3.2,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,4,18,5,0.0,0.12,230,fr FRA,DF,de Bundesliga,20-329,2005.0,3.2,0,1,0,0.0,0.31,0.0,0.0,,4.2,0,0,0,0.3,0.3,0.32,-0.3,-0.3,230,fr FRA,DF,de Bundesliga,20-329,2005.0,3.2,199,219,90.9,3297,1052,0,0.1,0.2,-0.1,1,24,1,0,18,230,fr FRA,DF,de Bundesliga,20-329,2005.0,3.2,219,203,16,2,0,1,4,14,0,0,0,0,199,0,1,230,fr FRA,DF,de Bundesliga,20-329,2005.0,3.2,5,1.54,5,0,0,0,0,0,0,0.0,230,fr FRA,DF,de Bundesliga,20-329,2005.0,3.2,5,2,5,0,0,4,100.0,0,2,0,2,1,6,5,0,230,fr FRA,DF,de Bundesliga,20-329,2005.0,3.2,240,13,77,128,36,1,240,1,1,100.0,0,0.0,128,671,386,4,6,0,2,3,186,5,290,fr FRA,DF,de Bundesliga,20-329,2005.0,8,292,37,20.3,3.2,3,73.0,1,5,14.0,5,2.25,3,8,-5,-1.54,-2.72,5.5,7.2,-1.7,-0.52,230,fr FRA,DF,de Bundesliga,20-329,2005.0,3.2,0,0,0,5,5,0,4,1,2,0,1,0,8,0,4,0.0,,,,,,,,,,,,,,,67.71,,,,,26.37,,,,,,,,,,,,,,,,,,,,,,,,,,33.53,,,,6.63,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.03,1.23,5.55,1.54,0.31,0.0,61.34,7.4,0.31,0.0,0.31,1.23,1.54,0.31,1.54,0.62,0.0,0.0,73.97,0.31,39.45,0.62,0.92,1.54,0.0,0.31,2.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09,Leverkusen,59.7,1.91,0.38,1.91,0.77,2005,jeanuel belocian
232,Fran Beltrán,es ESP,MF,Celta Vigo,es La Liga,26.0,1999.0,10,7,528,5.9,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,6,31,9,0.0,0.06,232,es ESP,MF,es La Liga,26-343,1999.0,5.9,0,6,1,16.7,1.02,0.17,0.0,0.0,21.5,0,0,0,0.3,0.3,0.05,-0.3,-0.3,232,es ESP,MF,es La Liga,26-343,1999.0,5.9,287,319,90.0,4889,1244,0,0.1,0.2,-0.1,1,33,1,0,31,232,es ESP,MF,es La Liga,26-343,1999.0,5.9,319,314,5,4,1,1,2,0,1,1,0,0,287,0,4,232,es ESP,MF,es La Liga,26-343,1999.0,5.9,5,0.85,5,0,0,0,0,0,0,0.0,232,es ESP,MF,es La Liga,26-343,1999.0,5.9,7,3,3,4,0,7,57.1,3,5,2,3,7,14,4,0,232,es ESP,MF,es La Liga,26-343,1999.0,5.9,371,10,79,236,57,3,371,4,2,50.0,1,25.0,209,897,429,6,5,0,9,4,275,9,292,es ESP,MF,es La Liga,26-343,1999.0,10,528,53,32.6,5.9,7,71.0,2,3,10.0,8,1.4,4,6,-2,-0.34,-0.84,6.6,4.7,1.9,0.32,232,es ESP,MF,es La Liga,26-343,1999.0,5.9,0,0,0,10,3,0,2,7,3,0,0,0,21,2,6,25.0,,,,,,,,,,,,,,,69.16,,,,,24.94,,,,,,,,,,,,,,,,,,,,,,,,,,36.25,,,,5.5,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.02,1.02,5.28,1.53,1.02,0.17,48.92,5.62,0.17,0.0,0.17,0.34,1.19,1.19,0.68,0.85,0.0,0.0,63.24,0.34,35.62,1.53,0.68,1.7,0.0,0.0,3.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,-0.05,Celta de Vigo,,0.0,0.0,0.0,0.0,1999,fran beltran
237,Adrian Benedyczak,pl POL,"FW,MF",Parma,it Serie A,25.0,2000.0,12,4,444,4.9,1,1,2,0,1,1,1,0,1.3,0.5,1.1,1.7,3,11,24,0.2,0.49,237,pl POL,"FW,MF",it Serie A,25-049,2000.0,4.9,1,6,1,16.7,1.22,0.2,0.0,0.0,15.2,0,1,1,1.3,0.5,0.09,-0.3,-0.5,237,pl POL,"FW,MF",it Serie A,25-049,2000.0,4.9,68,101,67.3,1131,375,1,1.1,0.6,-0.1,9,7,2,1,11,237,pl POL,"FW,MF",it Serie A,25-049,2000.0,4.9,101,97,4,0,0,1,9,3,0,0,0,0,68,0,7,237,pl POL,"FW,MF",it Serie A,25-049,2000.0,4.9,17,3.45,12,1,0,1,1,2,1,0.2,237,pl POL,"FW,MF",it Serie A,25-049,2000.0,4.9,6,6,3,1,2,6,50.0,3,1,1,0,0,6,7,0,237,pl POL,"FW,MF",it Serie A,25-049,2000.0,4.9,140,9,25,49,67,27,139,4,0,0.0,4,100.0,50,220,104,3,2,1,9,0,93,24,299,pl POL,"FW,MF",it Serie A,25-049,2000.0,12,444,37,26.0,4.9,4,73.0,0,8,19.0,5,1.33,6,5,1,0.2,0.84,6.0,7.1,-1.1,-0.22,237,pl POL,"FW,MF",it Serie A,25-049,2000.0,4.9,1,0,0,9,6,1,9,0,6,0,0,0,8,17,18,48.6,,,,,,,,,,,,,,,73.11,,,,,31.22,,,,,,,,,,,,,,,,,,,,,,,,,,36.42,,,,6.16,,,,0.2,0.2,0.41,0.0,0.2,0.2,0.0,0.1,0.22,0.61,2.23,4.86,1.22,0.2,13.78,1.42,0.41,0.2,0.2,1.82,1.22,0.0,1.42,0.2,0.0,0.2,28.38,0.0,10.14,1.82,0.0,1.82,0.0,0.0,1.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.45,0.0,0.0,-0.06,Parma,44.3,1.1,0.0,1.27,0.18,2000,adrian benedyczak
238,Yassine Benhattab,fr FRA,"MF,FW",Nantes,fr Ligue 1,23.0,2002.0,10,5,477,5.3,0,0,0,0,0,0,0,0,0.2,0.2,0.7,0.9,15,15,34,0.0,0.16,238,fr FRA,"MF,FW",fr Ligue 1,23-055,2002.0,5.3,0,4,1,25.0,0.75,0.19,0.0,0.0,17.4,0,0,0,0.2,0.2,0.04,-0.2,-0.2,238,fr FRA,"MF,FW",fr Ligue 1,23-055,2002.0,5.3,107,168,63.7,1660,514,0,0.7,0.8,-0.7,6,4,8,3,15,238,fr FRA,"MF,FW",fr Ligue 1,23-055,2002.0,5.3,168,160,7,1,1,0,25,1,5,3,2,0,107,1,8,238,fr FRA,"MF,FW",fr Ligue 1,23-055,2002.0,5.3,15,2.83,10,0,2,1,1,1,1,0.19,238,fr FRA,"MF,FW",fr Ligue 1,23-055,2002.0,5.3,10,6,7,2,1,4,50.0,2,2,0,2,0,10,3,2,238,fr FRA,"MF,FW",fr Ligue 1,23-055,2002.0,5.3,233,8,49,86,102,16,233,15,8,53.3,7,46.7,153,1152,498,15,13,7,25,4,157,34,300,fr FRA,"MF,FW",fr Ligue 1,23-055,2002.0,10,477,48,31.2,5.3,5,67.0,0,5,28.0,4,0.6,3,9,-6,-1.13,-0.62,3.7,8.9,-5.2,-0.98,238,fr FRA,"MF,FW",fr Ligue 1,23-055,2002.0,5.3,0,0,0,3,3,1,25,0,6,0,0,0,28,1,4,20.0,,,,,,,,,,,,,,,69.57,,,,,27.02,,,,,,,,,,,,,,,,,,,,,,,,,,29.09,,,,6.37,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.13,2.83,2.83,6.42,0.75,0.19,20.19,0.75,1.51,0.57,0.0,4.72,1.89,0.0,0.57,0.38,0.38,0.19,43.96,1.51,28.87,4.72,0.75,0.57,0.0,0.0,5.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,-0.04,FC Nantes,,0.0,0.0,0.0,0.0,2002,yassine benhattab
276,Oscar Bobb,no NOR,"MF,FW",Manchester City,eng Premier League,22.0,2003.0,9,5,468,5.2,0,1,1,0,0,0,1,0,0.4,0.4,0.7,1.1,17,18,55,0.19,0.21,276,no NOR,"MF,FW",eng Premier League,22-184,2003.0,5.2,0,4,0,0.0,0.77,0.0,0.0,,14.7,0,0,0,0.4,0.4,0.1,-0.4,-0.4,276,no NOR,"MF,FW",eng Premier League,22-184,2003.0,5.2,195,218,89.4,2572,565,1,0.7,1.2,0.3,10,6,16,2,18,276,no NOR,"MF,FW",eng Premier League,22-184,2003.0,5.2,218,210,8,2,1,1,5,6,0,0,0,0,195,0,4,276,no NOR,"MF,FW",eng Premier League,22-184,2003.0,5.2,22,4.23,16,0,5,0,1,0,3,0.58,276,no NOR,"MF,FW",eng Premier League,22-184,2003.0,5.2,8,5,3,3,2,7,57.1,3,9,0,9,3,11,1,0,276,no NOR,"MF,FW",eng Premier League,22-184,2003.0,5.2,274,3,21,97,161,29,274,28,16,57.1,10,35.7,183,998,487,17,12,13,10,8,208,55,350,no NOR,"MF,FW",eng Premier League,22-184,2003.0,9,468,52,24.8,5.2,5,78.0,2,4,20.0,4,1.67,10,5,5,0.96,-0.37,9.3,4.9,4.4,0.85,276,no NOR,"MF,FW",eng Premier League,22-184,2003.0,5.2,1,0,0,5,9,0,5,3,5,0,0,0,18,3,5,37.5,,,,,,,,,,,,,,,65.16,,,,,22.98,,,,,,,,,,,,,,,,,,,,,,,,,,37.59,,,,6.36,,,,0.0,0.19,0.19,0.0,0.0,0.19,0.0,0.08,0.13,3.27,3.46,10.58,0.77,0.0,37.5,1.15,3.08,0.38,0.19,0.96,1.54,0.58,0.19,1.73,0.0,0.19,52.69,3.08,35.19,1.92,1.54,0.96,0.0,0.0,3.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,-0.08,Man City,,0.0,0.0,0.0,0.0,2003,oscar bobb
279,Sacha Boey,fr FRA,DF,Bayern Munich,de Bundesliga,25.0,2000.0,9,5,463,5.1,0,0,0,0,0,0,1,0,0.3,0.3,0.2,0.5,6,22,30,0.0,0.09,279,fr FRA,DF,de Bundesliga,25-121,2000.0,5.1,0,6,0,0.0,1.17,0.0,0.0,,18.9,0,0,0,0.3,0.3,0.05,-0.3,-0.3,279,fr FRA,DF,de Bundesliga,25-121,2000.0,5.1,287,338,84.9,3661,779,0,0.2,0.3,-0.2,4,23,1,1,22,279,fr FRA,DF,de Bundesliga,25-121,2000.0,5.1,338,294,44,4,0,0,5,40,0,0,0,0,287,0,8,279,fr FRA,DF,de Bundesliga,25-121,2000.0,5.1,8,1.56,7,0,0,1,0,0,1,0.19,279,fr FRA,DF,de Bundesliga,25-121,2000.0,5.1,6,4,2,3,1,5,40.0,3,4,0,4,5,11,9,1,279,fr FRA,DF,de Bundesliga,25-121,2000.0,5.1,394,17,89,172,135,14,394,10,1,10.0,8,80.0,209,671,259,6,9,1,7,4,272,30,353,fr FRA,DF,de Bundesliga,25-121,2000.0,9,463,51,32.2,5.1,5,78.0,1,4,18.0,3,3.0,14,2,12,2.33,-1.26,12.3,2.9,9.4,1.82,279,fr FRA,DF,de Bundesliga,25-121,2000.0,5.1,1,0,0,10,8,0,5,5,4,0,0,0,21,5,3,62.5,,,,,,,,,,,,,,,67.71,,,,,26.37,,,,,,,,,,,,,,,,,,,,,,,,,,33.53,,,,6.63,,,,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.06,0.04,1.17,4.28,5.83,1.17,0.0,55.79,4.47,0.19,0.19,0.0,0.97,1.17,0.97,1.75,0.78,0.19,0.0,76.59,0.19,40.63,1.36,0.78,1.94,0.0,0.0,4.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.0,0.0,-0.06,Bayern Munich,67.0,1.77,1.47,2.65,1.18,2000,sacha boey
