,,,,,Performance,,,,,,,,,,,,,Aerial Duels,,
Rk,Squad,Comp,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
59, Marseille,fr Ligue 1,30,17,36,4,1,206,173,21,282,125,130,4,2,1,658,162,170,48.8
60, Metz,fr Ligue 1,27,17,26,3,1,184,188,19,279,112,174,4,6,1,648,148,178,45.4
61, Milan,it Serie A,26,17,24,1,0,160,200,31,261,106,139,4,5,0,599,216,182,54.3
62, Monaco,fr Ligue 1,28,17,42,5,1,221,191,41,298,194,171,2,5,1,770,222,182,55
63, Nantes,fr Ligue 1,26,17,30,1,0,206,222,19,216,114,153,3,3,1,629,195,218,47.2
64, Napoli,it Serie A,25,17,25,1,0,208,210,20,306,115,134,3,4,0,684,209,204,50.6
65, Newcastle Utd,eng Premier League,24,20,27,2,1,199,209,25,486,148,180,2,2,2,845,351,291,54.7
66, Nice,fr Ligue 1,31,17,36,2,1,211,200,26,307,152,144,1,6,0,721,219,197,52.6
67, Nott'ham Forest,eng Premier League,27,21,34,0,0,228,239,30,507,166,216,2,4,2,899,290,334,46.5
68, Osasuna,es La Liga,22,18,42,3,1,231,193,20,311,136,163,2,3,0,751,313,248,55.8
69, Oviedo,es La Liga,28,18,40,8,4,220,182,40,305,140,189,1,4,0,657,252,222,53.2
70, Paris FC,fr Ligue 1,27,17,33,2,1,189,181,36,294,121,150,2,8,0,672,189,212,47.1
71, Paris S-G,fr Ligue 1,24,17,20,0,0,170,143,14,250,100,156,4,3,1,790,123,132,48.2
72, Parma,it Serie A,25,17,33,3,2,182,223,19,289,118,152,0,3,0,612,275,265,50.9
73, Pisa,it Serie A,28,19,37,2,0,246,227,25,329,158,190,3,2,0,743,377,309,55
74, Rayo Vallecano,es La Liga,24,18,49,3,1,244,175,39,378,140,169,2,3,0,786,171,232,42.4
75, RB Leipzig,de Bundesliga,26,15,24,0,0,141,158,22,228,146,145,1,0,0,682,182,199,47.8
76, Real Madrid,es La Liga,26,19,34,4,1,189,250,32,292,134,197,6,2,0,793,208,147,58.6
77, Real Sociedad,es La Liga,29,18,41,0,0,276,203,41,360,132,199,1,3,1,715,255,260,49.5
78, Rennes,fr Ligue 1,28,17,30,4,1,197,197,35,302,143,159,1,4,0,711,175,149,54
79, Roma,it Serie A,24,19,37,1,0,281,268,26,340,156,172,0,0,0,823,285,296,49.1
80, Sassuolo,it Serie A,26,19,43,1,1,241,253,36,239,157,148,3,4,2,721,238,274,46.5
81, Sevilla,es La Liga,31,18,59,2,1,276,238,49,280,136,210,3,6,0,764,266,227,54
82, St. Pauli,de Bundesliga,20,15,26,1,0,157,142,29,292,131,143,1,2,0,608,209,295,41.5
83, Strasbourg,fr Ligue 1,26,17,36,4,1,198,222,27,279,122,157,3,3,1,760,173,154,52.9
84, Stuttgart,de Bundesliga,24,15,29,1,0,153,182,36,302,145,123,3,4,1,621,261,219,54.4
85, Sunderland,eng Premier League,26,20,40,2,0,194,196,31,313,168,195,2,1,1,703,373,365,50.5
86, Torino,it Serie A,25,18,32,0,0,252,194,28,335,146,169,3,3,0,674,295,314,48.4
87, Tottenham,eng Premier League,23,20,52,2,1,219,164,39,430,145,240,0,1,0,885,303,351,46.3
88, Toulouse,fr Ligue 1,22,17,40,2,0,246,191,17,281,142,163,5,4,0,697,258,231,52.8
89, Udinese,it Serie A,27,18,35,1,0,254,201,22,292,146,176,1,6,1,680,293,247,54.3
90, Union Berlin,de Bundesliga,21,15,37,1,0,201,158,28,301,127,134,2,3,0,577,314,311,50.2
91, Valencia,es La Liga,21,18,34,1,0,212,199,26,356,131,143,2,4,1,683,201,239,45.7
92, Villarreal,es La Liga,26,17,41,2,1,210,179,42,225,148,185,1,4,0,693,164,187,46.7
93, Werder Bremen,de Bundesliga,23,15,43,3,3,157,133,22,233,137,147,2,3,1,587,193,181,51.6
94, West Ham,eng Premier League,30,21,35,2,1,228,221,38,353,176,218,1,6,1,801,313,344,47.6
95, Wolfsburg,de Bundesliga,26,15,29,1,1,171,145,18,206,152,136,1,6,2,524,215,244,46.8
96, Wolves,eng Premier League,25,20,41,2,0,281,191,26,383,178,219,3,1,4,778,333,324,50.7
