,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,
Rk,Squad,Comp,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
77, Real Sociedad,es La Liga,27,16,289,175,144,112,33,141,283,49.8,142,158,48,110,122,411,368,7
78, Rennes,fr Ligue 1,28,16,260,151,125,101,34,130,229,56.8,99,179,68,111,138,398,370,13
79, Roma,it Serie A,23,15,214,108,93,90,31,100,200,50,100,138,32,106,113,327,308,9
80, Sassuolo,it Serie A,25,15,212,122,96,79,37,120,209,57.4,89,158,45,113,121,333,379,6
81, Sevilla,es La Liga,31,16,304,197,147,125,32,156,278,56.1,122,168,45,123,116,420,428,13
82, St. Pauli,de Bundesliga,20,14,230,135,103,84,43,118,207,57,89,127,38,89,120,350,334,9
83, Strasbourg,fr Ligue 1,25,16,261,146,100,113,48,136,251,54.2,115,162,36,126,116,377,328,14
84, Stuttgart,de Bundesliga,24,14,196,117,89,83,24,92,163,56.4,71,150,47,103,134,330,363,6
85, Sunderland,eng Premier League,25,16,262,144,139,93,30,145,240,60.4,95,165,69,96,128,390,543,16
86, Torino,it Serie A,25,15,230,133,115,79,36,109,203,53.7,94,135,58,77,114,344,400,15
87, Tottenham,eng Premier League,21,16,326,198,148,140,38,146,250,58.4,104,165,39,126,114,440,432,20
88, Toulouse,fr Ligue 1,22,16,250,148,116,100,34,134,232,57.8,98,152,58,94,136,386,415,9
89, Udinese,it Serie A,26,15,250,146,116,112,22,113,204,55.4,91,145,49,96,122,372,459,10
90, Union Berlin,de Bundesliga,21,14,214,131,102,86,26,97,194,50,97,148,51,97,124,338,471,6
91, Valencia,es La Liga,21,16,245,133,130,87,28,128,213,60.1,85,148,48,100,123,368,439,8
92, Villarreal,es La Liga,26,15,268,164,130,104,34,161,271,59.4,110,175,63,112,134,402,365,19
93, Werder Bremen,de Bundesliga,23,14,238,133,113,101,24,116,227,51.1,111,186,59,127,132,370,437,8
94, West Ham,eng Premier League,27,16,229,136,118,87,24,105,202,52,97,183,74,109,133,362,533,9
95, Wolfsburg,de Bundesliga,26,14,203,128,105,75,23,94,195,48.2,101,171,54,117,148,351,532,6
96, Wolves,eng Premier League,25,16,322,179,161,110,51,163,292,55.8,129,189,71,118,142,464,497,17
