,,,,Playing Time,,,,Performance,,,,,,,,,,Penalty Kicks,,,,
Rk,Squad,Comp,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
50, Leverkusen,de Bundesliga,1,15,15,"1,350",15,20,1.33,69,50,73.9,9,2,4,4,26.7,2,2,0,0,0
51, Lille,fr Ligue 1,2,17,17,"1,530",17,22,1.29,62,40,67.7,10,2,5,5,29.4,3,2,1,0,33.3
52, Liverpool,eng Premier League,2,20,20,"1,800",20,28,1.4,73,44,64.4,10,4,6,6,30,3,2,1,0,33.3
53, Lorient,fr Ligue 1,2,17,17,"1,530",17,29,1.71,61,34,59,4,7,6,3,17.6,6,4,0,2,0
54, Lyon,fr Ligue 1,2,17,17,"1,530",17,17,1,55,38,69.1,9,3,5,9,52.9,2,0,2,0,100
55, Mainz 05,de Bundesliga,3,15,15,"1,348",15,26,1.74,76,52,68.4,1,5,9,1,6.7,2,2,0,0,0
56, Mallorca,es La Liga,2,18,18,"1,620",18,26,1.44,75,49,69.3,4,6,8,3,16.7,4,3,1,0,25
57, Manchester City,eng Premier League,2,20,20,"1,800",20,18,0.9,63,44,73,13,3,4,9,45,2,1,1,0,50
58, Manchester Utd,eng Premier League,2,20,20,"1,800",20,30,1.5,76,46,61.8,8,7,5,2,10,1,1,0,0,0
59, Marseille,fr Ligue 1,2,17,17,"1,530",17,17,1,69,53,78.3,10,2,5,6,35.3,2,2,0,0,0
60, Metz,fr Ligue 1,2,17,17,"1,530",17,38,2.24,100,62,67,3,3,11,3,17.6,6,5,1,0,16.7
61, Milan,it Serie A,2,17,17,"1,530",17,13,0.76,54,39,81.5,11,5,1,9,52.9,5,3,2,0,40
62, Monaco,fr Ligue 1,2,17,17,"1,530",17,30,1.76,78,49,66.7,7,2,8,2,11.8,5,4,0,1,0
63, Nantes,fr Ligue 1,2,17,17,"1,530",17,28,1.65,91,64,72.5,3,5,9,3,17.6,3,3,0,0,0
64, Napoli,it Serie A,2,17,17,"1,530",17,13,0.76,43,28,74.4,12,1,4,7,41.2,4,2,2,0,50
65, Newcastle Utd,eng Premier League,2,20,20,"1,800",20,24,1.2,74,52,70.3,8,5,7,6,30,2,2,0,0,0
66, Nice,fr Ligue 1,2,17,17,"1,530",17,30,1.76,93,62,73.1,5,3,9,2,11.8,6,5,1,0,16.7
67, Nott'ham Forest,eng Premier League,2,21,21,"1,890",21,34,1.62,88,56,65.9,6,3,12,3,14.3,4,4,0,0,0
68, Osasuna,es La Liga,1,18,18,"1,620",18,21,1.17,89,68,79.8,5,4,9,5,27.8,3,3,0,0,0
69, Oviedo,es La Liga,1,18,18,"1,620",18,27,1.5,115,86,78.3,2,6,10,5,27.8,4,2,2,0,50
70, Paris FC,fr Ligue 1,2,17,17,"1,530",17,31,1.82,68,35,60.3,4,4,9,3,17.6,8,4,2,2,33.3
71, Paris S-G,fr Ligue 1,2,17,17,"1,530",17,15,0.88,48,33,70.8,12,3,2,8,47.1,3,1,1,1,50
72, Parma,it Serie A,2,17,17,"1,530",17,19,1.12,70,50,75.7,4,6,7,5,29.4,3,2,1,0,33.3
73, Pisa,it Serie A,2,19,19,"1,710",19,28,1.47,89,61,70.8,1,9,9,4,21.1,2,2,0,0,0
74, Rayo Vallecano,es La Liga,1,18,18,"1,620",18,21,1.17,71,50,74.6,4,7,7,6,33.3,3,3,0,0,0
75, RB Leipzig,de Bundesliga,1,15,15,"1,350",15,19,1.27,56,37,66.1,9,2,4,7,46.7,0,0,0,0,
76, Real Madrid,es La Liga,1,19,19,"1,710",19,17,0.89,62,45,75.8,14,3,2,8,42.1,2,2,0,0,0
77, Real Sociedad,es La Liga,1,18,18,"1,620",18,26,1.44,60,35,61.7,4,6,8,1,5.6,3,3,0,0,0
78, Rennes,fr Ligue 1,1,17,17,"1,530",17,24,1.41,73,48,71.2,8,6,3,5,29.4,4,3,1,0,25
79, Roma,it Serie A,1,19,19,"1,710",19,12,0.63,69,57,82.6,12,0,7,8,42.1,0,0,0,0,
80, Sassuolo,it Serie A,2,19,19,"1,710",19,25,1.32,95,72,77.9,6,5,8,4,21.1,4,4,0,0,0
81, Sevilla,es La Liga,2,18,18,"1,620",18,29,1.61,83,54,71.1,6,2,10,4,22.2,6,5,0,1,0
82, St. Pauli,de Bundesliga,1,15,15,"1,350",15,26,1.73,79,51,67.1,3,3,9,2,13.3,2,0,2,0,100
83, Strasbourg,fr Ligue 1,2,17,17,"1,530",17,21,1.24,66,45,71.2,7,3,7,7,41.2,3,2,1,0,33.3
84, Stuttgart,de Bundesliga,1,15,15,"1,350",15,22,1.47,64,43,71.9,8,2,5,6,40,4,4,0,0,0
85, Sunderland,eng Premier League,1,20,20,"1,800",20,19,0.95,87,68,78.2,7,9,4,7,35,1,0,1,0,100
86, Torino,it Serie A,2,18,18,"1,620",18,28,1.56,72,44,65.3,6,5,7,8,44.4,3,3,0,0,0
87, Tottenham,eng Premier League,1,20,20,"1,800",20,24,1.2,79,55,70.9,7,6,7,7,35,1,1,0,0,0
88, Toulouse,fr Ligue 1,1,17,17,"1,530",17,22,1.29,55,33,67.3,6,5,6,6,35.3,4,4,0,0,0
89, Udinese,it Serie A,3,18,18,"1,616",18,29,1.62,65,36,63.1,6,4,8,4,22.2,6,5,1,0,16.7
90, Union Berlin,de Bundesliga,1,15,15,"1,350",15,23,1.53,65,42,69.2,6,3,6,4,26.7,3,3,0,0,0
91, Valencia,es La Liga,1,18,18,"1,620",18,30,1.67,81,51,66.7,3,7,8,4,22.2,4,3,1,0,25
92, Villarreal,es La Liga,2,17,17,"1,530",17,16,0.94,55,38,76.4,12,2,3,7,41.2,4,3,1,0,25
93, Werder Bremen,de Bundesliga,2,15,15,"1,350",15,28,1.87,89,62,71.9,4,5,6,4,26.7,3,3,0,0,0
94, West Ham,eng Premier League,2,21,21,"1,890",21,43,2.05,114,72,66.7,3,5,13,1,4.8,6,5,0,1,0
95, Wolfsburg,de Bundesliga,1,15,15,"1,350",15,28,1.87,74,46,66.2,4,3,8,1,6.7,6,3,2,1,40
96, Wolves,eng Premier League,2,20,20,"1,800",20,40,2,91,55,57.1,1,3,16,1,5,1,1,0,0,0
