,,,,,Standard,,,,,,,,,,,,Expected,,,,
Rk,Squad,Comp,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
42, Juventus,it Serie A,24,14,18,221,72,32.6,15.79,5.14,0.07,0.22,17.6,6,2,2,19,17.4,0.08,-1,-1.4
43, Köln,de Bundesliga,22,13,22,169,55,32.5,13,4.23,0.12,0.38,16.9,7,1,1,20,19.2,0.12,2,1.8
44, Lazio,it Serie A,24,14,16,155,60,38.7,11.07,4.29,0.1,0.25,18.2,4,1,1,15.2,14.4,0.09,0.8,0.6
45, Le Havre,fr Ligue 1,23,15,13,174,52,29.9,11.6,3.47,0.07,0.23,18.5,7,1,3,19.1,16.7,0.1,-6.1,-4.7
46, Lecce,it Serie A,23,14,10,132,37,28,9.43,2.64,0.08,0.27,19,9,0,1,10.6,9.8,0.07,-0.6,0.2
47, Leeds United,eng Premier League,23,15,19,181,52,28.7,12.07,3.47,0.09,0.33,16.2,4,2,3,19.8,17.3,0.1,-0.8,-0.3
48, Lens,fr Ligue 1,22,15,25,204,71,34.8,13.6,4.73,0.11,0.31,15.3,3,3,4,28.9,25.7,0.13,-3.9,-3.7
49, Levante,es La Liga,25,14,16,142,45,31.7,10.14,3.21,0.11,0.33,17.3,5,1,2,18.7,17.3,0.12,-2.7,-2.3
50, Leverkusen,de Bundesliga,25,13,28,182,56,30.8,14,4.31,0.14,0.45,18.4,10,3,3,22.2,19.9,0.11,5.8,5.1
51, Lille,fr Ligue 1,28,15,29,222,71,32,14.8,4.73,0.12,0.37,17,2,3,4,28.3,25.3,0.12,0.7,0.7
52, Liverpool,eng Premier League,22,15,23,231,64,27.7,15.4,4.27,0.1,0.34,17.1,6,1,1,24.1,23.4,0.1,-1.1,-1.4
53, Lorient,fr Ligue 1,23,15,18,178,57,32,11.87,3.8,0.1,0.3,17.4,6,1,4,20.9,17.7,0.1,-2.9,-0.7
54, Lyon,fr Ligue 1,25,15,20,182,65,35.7,12.13,4.33,0.11,0.31,16.4,4,0,2,23,21.5,0.13,-3,-1.5
55, Mainz 05,de Bundesliga,26,13,11,141,28,19.9,10.85,2.15,0.06,0.29,15.6,3,3,3,15.5,13.2,0.1,-4.5,-5.2
56, Mallorca,es La Liga,25,15,15,156,52,33.3,10.4,3.47,0.08,0.25,18.2,4,2,2,14.5,12.9,0.08,0.5,0.1
57, Manchester City,eng Premier League,23,15,32,215,76,35.3,14.33,5.07,0.15,0.42,15.7,4,0,1,29.1,28.3,0.14,2.9,3.7
58, Manchester Utd,eng Premier League,21,14,20,211,68,32.2,15.07,4.86,0.09,0.28,16.6,2,1,3,22.9,20.5,0.1,-2.9,-1.5
59, Marseille,fr Ligue 1,30,15,34,206,80,38.8,13.73,5.33,0.15,0.38,17.9,6,4,5,28,24.6,0.12,6,5.4
60, Metz,fr Ligue 1,27,15,14,130,41,31.5,8.67,2.73,0.08,0.27,17.8,2,3,4,17.2,14.1,0.11,-3.2,-3.1
61, Milan,it Serie A,24,13,19,170,56,32.9,13.08,4.31,0.1,0.3,17,2,2,3,20.2,17.9,0.11,-1.2,-0.9
62, Monaco,fr Ligue 1,28,15,24,183,55,30.1,12.2,3.67,0.11,0.36,15.9,3,4,5,28.9,24.9,0.14,-4.9,-4.9
63, Nantes,fr Ligue 1,23,15,13,147,35,23.8,9.8,2.33,0.09,0.37,19.6,7,0,2,12.5,10.8,0.07,0.5,2.2
64, Napoli,it Serie A,25,14,22,180,68,37.8,12.86,4.86,0.11,0.28,17.1,7,3,3,20,18.7,0.11,2,0.3
65, Newcastle Utd,eng Premier League,24,15,21,186,62,33.3,12.4,4.13,0.1,0.29,18.1,3,3,3,20.6,18.3,0.1,0.4,-0.3
66, Nice,fr Ligue 1,27,15,17,168,57,33.9,11.2,3.8,0.09,0.26,17.9,4,2,2,17.3,15.8,0.09,-0.3,-0.8
67, Nott'ham Forest,eng Premier League,26,15,14,181,57,31.5,12.07,3.8,0.07,0.23,16.8,6,1,1,17.2,16.4,0.09,-3.2,-3.4
68, Osasuna,es La Liga,21,14,12,142,43,30.3,10.14,3.07,0.07,0.23,17.3,6,2,3,15.3,13,0.09,-3.3,-3
69, Oviedo,es La Liga,27,15,7,134,39,29.1,8.93,2.6,0.04,0.15,18.1,2,1,2,12.6,11,0.08,-5.6,-5
70, Paris FC,fr Ligue 1,25,15,21,187,53,28.3,12.47,3.53,0.1,0.34,17.9,1,3,3,20.9,18.5,0.1,0.1,-0.5
71, Paris S-G,fr Ligue 1,23,15,32,265,98,37,17.67,6.53,0.11,0.3,18.6,11,3,4,27.4,24.3,0.09,4.6,4.7
72, Parma,it Serie A,25,13,9,141,37,26.2,10.85,2.85,0.06,0.22,18.4,6,1,1,12.2,11.5,0.08,-3.2,-3.5
73, Pisa,it Serie A,26,13,9,123,28,22.8,9.46,2.15,0.04,0.18,16.6,0,4,4,13.4,10.5,0.09,-4.4,-5.5
74, Rayo Vallecano,es La Liga,24,15,13,188,57,30.3,12.53,3.8,0.06,0.21,19.4,6,1,2,20.4,18.8,0.1,-7.4,-6.8
75, RB Leipzig,de Bundesliga,26,13,27,215,74,34.4,16.54,5.69,0.12,0.35,16.9,9,1,2,25.5,24,0.12,1.5,2
76, Real Madrid,es La Liga,23,16,32,311,107,34.4,19.44,6.69,0.09,0.25,18.5,9,5,7,37.8,32.3,0.11,-5.8,-5.3
77, Real Sociedad,es La Liga,27,15,19,202,67,33.2,13.47,4.47,0.08,0.24,17.6,7,3,3,20.3,18,0.09,-1.3,-2
78, Rennes,fr Ligue 1,28,15,23,187,64,34.2,12.47,4.27,0.11,0.33,18.2,3,2,2,22.1,20.5,0.11,0.9,0.5
79, Roma,it Serie A,23,14,15,182,65,35.7,13,4.64,0.08,0.22,17.1,8,1,2,17,15.6,0.09,-2,-1.6
80, Sassuolo,it Serie A,25,14,19,154,53,34.4,11,3.79,0.11,0.32,17.9,8,2,3,15.1,12.6,0.08,3.9,4.4
81, Sevilla,es La Liga,31,15,17,158,44,27.8,10.53,2.93,0.09,0.34,17.7,3,2,2,13.6,12.3,0.08,3.4,2.7
82, St. Pauli,de Bundesliga,20,13,11,143,42,29.4,11,3.23,0.07,0.24,19.6,4,1,2,11.1,9.5,0.07,-0.1,0.5
83, Strasbourg,fr Ligue 1,25,15,25,164,60,36.6,10.93,4,0.14,0.38,16.2,9,2,2,24,22.4,0.14,1,0.6
84, Stuttgart,de Bundesliga,24,13,21,196,64,32.7,15.08,4.92,0.1,0.3,18,3,2,3,18.5,16.1,0.08,2.5,2.9
85, Sunderland,eng Premier League,25,15,17,142,42,29.6,9.47,2.8,0.11,0.36,16.2,2,2,2,13.1,11.5,0.08,3.9,3.5
86, Torino,it Serie A,25,13,11,147,50,34,11.31,3.85,0.07,0.2,18.5,3,1,3,15.2,12.8,0.09,-4.2,-2.8
87, Tottenham,eng Premier League,20,15,24,147,50,34,9.8,3.33,0.16,0.48,15.5,3,0,0,14.8,14.8,0.1,9.2,9.2
88, Toulouse,fr Ligue 1,22,15,20,182,52,28.6,12.13,3.47,0.09,0.31,16.2,3,4,6,20.6,16,0.09,-0.6,0
89, Udinese,it Serie A,26,13,14,151,47,31.1,11.62,3.62,0.08,0.26,19,5,2,2,14.2,12.7,0.09,-0.2,-0.7
90, Union Berlin,de Bundesliga,21,13,16,158,43,27.2,12.15,3.31,0.1,0.37,16.2,1,0,2,14.8,13.2,0.09,1.2,2.8
91, Valencia,es La Liga,21,15,14,159,42,26.4,10.6,2.8,0.09,0.33,17.5,8,0,1,15.7,14.9,0.1,-1.7,-0.9
92, Villarreal,es La Liga,26,15,31,198,74,37.4,13.2,4.93,0.15,0.41,16.4,2,1,1,24.9,24.1,0.13,6.1,5.9
93, Werder Bremen,de Bundesliga,23,13,18,161,56,34.8,12.38,4.31,0.1,0.29,18.8,5,2,3,16.2,13.8,0.09,1.8,2.2
94, West Ham,eng Premier League,27,15,16,151,52,34.4,10.07,3.47,0.1,0.29,16.1,3,1,1,15.3,14.5,0.1,0.7,0.5
95, Wolfsburg,de Bundesliga,26,13,17,155,52,33.5,11.92,4,0.1,0.31,17.4,4,1,1,17.1,16.3,0.11,-0.1,-0.3
96, Wolves,eng Premier League,25,14,6,126,40,31.7,9,2.86,0.04,0.13,17.1,7,1,1,12.7,11.9,0.1,-6.7,-6.9
