,,,,,,Playing Time,,,,Performance,,,,,,,,Expected,,,,Progression,,Per 90 Minutes,,,,,,,,,
Rk,Squad,Comp,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
28, Espanyol,es La Liga,22,27.7,42.5,12,132,"1,080",12,15,11,26,13,2,3,20,1,20.6,18.2,15.1,33.3,215,439,1.25,0.92,2.17,1.08,2,1.71,1.26,2.97,1.52,2.77
29, Everton,eng Premier League,19,28.6,45.2,11,121,990,11,12,9,21,11,1,1,26,0,14.8,14,11.2,25.2,168,367,1.09,0.82,1.91,1,1.82,1.34,1.02,2.36,1.27,2.29
30, Fiorentina,it Serie A,23,27.5,50.6,11,121,990,11,9,3,12,6,3,3,26,1,14.7,12.8,8.3,21.1,141,306,0.82,0.27,1.09,0.55,0.82,1.34,0.76,2.09,1.16,1.92
31, Freiburg,de Bundesliga,23,27.4,50.2,10,110,900,10,12,5,17,9,3,3,17,2,13.1,10.7,8.7,19.4,131,338,1.2,0.5,1.7,0.9,1.4,1.31,0.87,2.18,1.07,1.94
32, Fulham,eng Premier League,22,28.2,50.3,11,121,990,11,9,6,15,9,0,0,21,0,10.7,10.7,7.9,18.6,214,386,0.82,0.55,1.36,0.82,1.36,0.97,0.72,1.69,0.97,1.69
33, Genoa,it Serie A,24,26.4,48.2,11,121,990,11,8,5,13,8,0,2,30,0,14.5,12.9,9.7,22.6,143,325,0.73,0.45,1.18,0.73,1.18,1.32,0.88,2.2,1.18,2.05
34, Getafe,es La Liga,23,28.6,41.3,12,132,"1,080",12,12,11,23,12,0,0,30,2,8.6,8.6,6,14.6,105,300,1,0.92,1.92,1,1.92,0.72,0.5,1.22,0.72,1.22
35, Girona,es La Liga,28,27.8,47.8,12,132,"1,080",12,11,6,17,8,3,3,24,5,12.6,10.4,8.3,18.6,212,424,0.92,0.5,1.42,0.67,1.17,1.05,0.69,1.74,0.86,1.55
36, Gladbach,de Bundesliga,23,26.5,45.4,10,110,900,10,13,11,24,12,1,3,18,1,14.1,11.7,9.7,21.3,141,357,1.3,1.1,2.4,1.2,2.3,1.41,0.97,2.37,1.17,2.13
37, Hamburger SV,de Bundesliga,25,26.4,47.8,10,110,900,10,9,7,16,9,0,1,24,4,12.4,11.6,9.4,21,174,343,0.9,0.7,1.6,0.9,1.6,1.24,0.94,2.18,1.16,2.1
38, Heidenheim,de Bundesliga,24,27.1,39.4,10,110,900,10,8,7,15,8,0,0,15,1,12.1,12.1,10.2,22.3,112,276,0.8,0.7,1.5,0.8,1.5,1.21,1.02,2.23,1.21,2.23
