,,,,,SCA,,SCA Types,,,,,,GCA,,GCA Types,,,,,
Rk,Squad,Comp,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
83, Strasbourg,fr Ligue 1,25,15,290,19.33,202,24,16,20,16,12,41,2.73,26,0,3,7,2,3
84, Stuttgart,de Bundesliga,24,13,363,27.92,280,30,15,21,12,5,39,3,32,2,1,2,2,0
85, Sunderland,eng Premier League,25,15,248,16.53,171,33,14,15,10,5,30,2,20,3,0,3,4,0
86, Torino,it Serie A,25,13,260,20,200,21,13,8,11,7,20,1.54,14,2,3,1,0,0
87, Tottenham,eng Premier League,20,15,252,16.8,188,23,14,13,10,4,39,2.6,28,3,3,3,0,2
88, Toulouse,fr Ligue 1,22,15,317,21.13,209,44,19,25,11,9,33,2.2,12,6,6,5,4,0
89, Udinese,it Serie A,26,13,253,19.46,181,25,15,15,13,4,24,1.85,16,2,2,3,1,0
90, Union Berlin,de Bundesliga,21,13,255,19.62,156,41,6,25,21,6,22,1.69,13,2,0,5,2,0
91, Valencia,es La Liga,21,15,273,18.2,202,17,14,24,11,5,23,1.53,18,3,1,1,0,0
92, Villarreal,es La Liga,26,15,353,23.53,265,31,22,18,15,2,46,3.07,34,1,4,6,1,0
93, Werder Bremen,de Bundesliga,23,13,282,21.69,218,18,14,14,12,6,34,2.62,25,0,3,3,2,1
94, West Ham,eng Premier League,27,15,258,17.2,172,29,21,21,9,6,22,1.47,14,2,0,5,1,0
95, Wolfsburg,de Bundesliga,26,13,279,21.46,209,27,8,17,12,6,32,2.46,24,2,2,0,3,1
96, Wolves,eng Premier League,25,14,230,16.43,171,21,10,9,14,5,11,0.79,9,0,0,1,1,0
