,,,,,,Pass Types,,,,,,,,Corner Kicks,,,Outcomes,,
Rk,Squad,Comp,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
60, Milan,it Serie A,26,21,9888,9041,815,240,36,55,360,335,91,51,24,0,8434,32,125
61, Monaco,fr Ligue 1,29,18,8810,7985,784,199,38,34,332,340,79,42,24,0,7200,41,156
62, Nantes,fr Ligue 1,28,18,6732,5864,849,275,14,35,226,318,53,31,17,0,5256,19,131
63, Napoli,it Serie A,25,21,10836,9918,895,254,29,34,399,355,106,67,8,0,9107,23,180
64, Newcastle United,eng Premier League,24,22,10661,9663,972,243,35,55,555,398,134,81,35,2,8556,26,181
65, Nice,fr Ligue 1,32,18,7973,7221,726,214,28,51,332,268,84,32,35,0,6528,26,145
66, Nottingham Forest,eng Premier League,27,22,10168,9139,999,261,22,50,532,412,114,68,26,0,8088,30,184
67, Osasuna,es La Liga,22,20,8170,7264,884,251,13,55,352,365,58,18,31,0,6292,22,138
68, Oviedo,es La Liga,29,20,8276,7387,847,220,15,66,350,357,77,37,24,0,6634,42,147
69, Paris FC,fr Ligue 1,28,18,9276,8480,760,216,26,60,309,290,77,50,5,0,7840,36,134
70, Paris Saint-Germain,fr Ligue 1,24,18,13235,12554,667,159,42,78,263,296,107,26,22,0,11967,14,125
71, Parma,it Serie A,26,21,7286,6353,911,309,7,36,354,334,62,44,17,0,5457,22,144
72, Pisa,it Serie A,30,21,7024,6082,914,275,11,37,388,335,73,27,34,0,5140,28,139
73, Rayo Vallecano,es La Liga,25,20,9223,8269,913,205,23,62,424,395,114,51,41,2,7400,41,195
74, RB Leipzig,de Bundesliga,26,17,7741,7046,673,183,30,32,261,246,88,34,30,0,6376,22,130
75, Real Betis,es La Liga,26,20,9551,8610,913,305,36,73,318,333,94,37,33,0,7853,28,187
76, Real Madrid,es La Liga,26,20,11691,10807,852,256,44,109,308,314,119,44,37,0,10254,32,138
77, Real Sociedad,es La Liga,29,20,9323,8347,933,251,34,54,394,369,121,63,24,0,7445,43,194
78, Rennes,fr Ligue 1,28,18,8624,7774,815,237,18,40,338,306,92,40,26,0,7125,35,152
79, Roma,it Serie A,26,21,10712,9679,1005,326,22,58,374,413,102,56,38,0,8718,28,174
80, Sassuolo,it Serie A,27,21,8617,7678,902,293,17,51,260,330,70,35,16,0,6916,37,144
81, Sevilla,es La Liga,31,20,9027,8083,891,274,27,78,333,366,98,47,32,0,7226,53,164
82, St Pauli,de Bundesliga,21,17,7587,6845,713,176,21,28,322,328,76,27,38,0,5860,29,140
83, Strasbourg,fr Ligue 1,26,18,9612,8846,739,243,56,12,292,268,67,23,35,3,8257,27,119
84, Stuttgart,de Bundesliga,26,18,8966,8190,738,220,23,30,345,304,88,46,9,2,7372,38,144
85, Sunderland,eng Premier League,26,22,8510,7586,892,234,25,51,343,354,76,64,1,2,6458,32,178
86, Torino,it Serie A,25,21,8312,7401,879,235,13,47,389,347,86,36,43,0,6392,32,151
87, Tottenham Hotspur,eng Premier League,25,22,9701,8681,981,230,11,55,492,423,109,91,8,3,7602,39,199
88, Toulouse,fr Ligue 1,23,18,6411,5683,711,207,20,27,291,275,76,47,22,0,4969,17,125
89, Udinese,it Serie A,27,21,8049,7095,927,271,9,32,334,360,90,58,20,0,6254,27,154
90, Union Berlin,de Bundesliga,22,18,5799,5014,757,194,9,20,362,318,83,42,37,0,4048,28,139
91, Valencia,es La Liga,24,20,8912,7974,909,265,20,64,386,357,104,37,55,0,7151,29,151
92, Villarreal,es La Liga,26,19,8093,7279,772,202,47,52,239,323,75,46,12,0,6614,42,117
93, Werder Bremen,de Bundesliga,25,17,7435,6749,664,152,17,54,265,282,65,17,32,0,5962,22,119
94, West Ham United,eng Premier League,30,22,8884,7850,996,252,30,54,373,383,112,78,25,0,6903,38,170
95, Wolfsburg,de Bundesliga,27,18,7053,6320,715,186,27,26,260,271,55,35,17,0,5531,18,143
96, Wolves,eng Premier League,26,22,8983,8039,918,229,16,36,430,394,68,52,11,0,6977,26,172
