,,,,,Total,,,,,Short,,,Medium,,,Long,,,,,Expected,,,,,,
Rk,Squad,Comp,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,01-Mar,PPA,CrsPA,PrgP
63, Nantes,fr Ligue 1,24,16,4916,6330,77.7,94497,34355,1782,2110,84.5,2486,2830,87.8,553,1104,50.1,7,7.6,8,-0.6,101,315,85,20,408
64, Napoli,it Serie A,25,15,7000,8376,83.6,120960,38574,3131,3440,91,3285,3677,89.3,480,907,52.9,14,14.4,15,-0.4,132,517,115,34,619
65, Newcastle Utd,eng Premier League,24,16,6327,7891,80.2,111641,39753,2832,3180,89.1,2783,3213,86.6,579,1158,50,12,14.9,13.8,-2.9,148,551,133,37,721
66, Nice,fr Ligue 1,27,16,6125,7500,81.7,101770,36081,2989,3301,90.5,2503,2878,87,467,911,51.3,15,14.3,15.1,0.7,141,452,116,46,547
67, Nott'ham Forest,eng Premier League,27,16,6238,7812,79.9,108866,38606,2899,3217,90.1,2697,3113,86.6,533,1142,46.7,10,14.6,13,-4.6,143,553,141,47,664
68, Osasuna,es La Liga,21,16,5175,6755,76.6,90834,36520,2438,2777,87.8,2037,2478,82.2,546,1122,48.7,11,11.1,12.3,-0.1,113,367,89,36,456
69, Oviedo,es La Liga,27,16,5582,6910,80.8,105106,36104,2260,2524,89.5,2565,2922,87.8,660,1152,57.3,3,8.2,10.5,-5.2,92,351,96,39,461
70, Paris FC,fr Ligue 1,25,16,7556,8912,84.8,136956,43850,3060,3354,91.2,3661,4023,91,706,1207,58.5,14,15.2,16.6,-1.2,152,492,119,34,627
71, Paris S-G,fr Ligue 1,23,16,11234,12414,90.5,187257,52261,5256,5591,94,4897,5212,94,799,1119,71.4,25,22.2,24.1,2.8,234,988,185,30,935
72, Parma,it Serie A,25,15,4079,5525,73.8,79486,31061,1613,1903,84.8,1875,2274,82.5,519,1082,48,4,9.6,7.4,-5.6,113,296,67,28,357
73, Pisa,it Serie A,26,15,4058,5430,74.7,79199,32313,1569,1821,86.2,1813,2195,82.6,572,1111,51.5,5,10.8,11.2,-5.8,114,315,101,46,408
74, Rayo Vallecano,es La Liga,24,16,6356,7860,80.9,116503,42000,2601,2875,90.5,2962,3363,88.1,669,1248,53.6,10,15,13.9,-5,154,504,102,36,607
75, RB Leipzig,de Bundesliga,26,14,5955,7230,82.4,104823,35681,2528,2820,89.6,2736,3102,88.2,540,945,57.1,21,18,18.5,3,170,394,107,13,517
76, Real Madrid,es La Liga,24,17,9171,10487,87.5,155501,47389,4444,4759,93.4,3722,4063,91.6,773,1204,64.2,27,28.3,25.8,-1.3,256,912,175,22,932
77, Real Sociedad,es La Liga,27,16,6283,7859,79.9,108763,40232,2869,3215,89.2,2699,3134,86.1,548,1048,52.3,13,16,15.6,-3,166,534,119,37,634
78, Rennes,fr Ligue 1,28,16,6563,7969,82.4,113340,39822,2903,3229,89.9,2948,3304,89.2,548,1035,52.9,20,18.7,14.7,1.3,155,532,110,30,600
79, Roma,it Serie A,23,15,6411,7912,81,115599,38658,2662,2994,88.9,2980,3389,87.9,621,1137,54.6,11,13.9,13.8,-2.9,156,498,126,28,641
80, Sassuolo,it Serie A,25,15,5085,6322,80.4,88749,32674,2327,2597,89.6,2103,2385,88.2,507,963,52.6,15,11.3,10.1,3.7,127,368,98,31,442
81, Sevilla,es La Liga,31,16,5930,7488,79.2,110285,39083,2441,2776,87.9,2652,3040,87.2,700,1256,55.7,17,12.4,11.1,4.6,139,456,106,30,512
82, St. Pauli,de Bundesliga,20,14,5580,7176,77.8,94316,35243,2632,2994,87.9,2355,2753,85.5,443,1030,43,9,8.1,11.4,0.9,108,488,109,21,532
83, Strasbourg,fr Ligue 1,25,16,7774,9038,86,129347,42250,3590,3902,92,3523,3908,90.1,487,844,57.7,19,19.2,17,-0.2,133,451,130,31,661
